Компания,Email,Сайт (из базы клиента),Статус проверки,Персонализация,Комментарий (что перепутано / как проверено)
Mingwen Intelligent,sales01@mgwmachine.com,mgwmachine.com,OK — данные совпадают,"Заметил, что Mingwen (Zhejiang Mingwen Intelligent Technology) занимает около 70% рынка Китая по многопозиционным поворотным станкам для газового оборудования — узкая и редкая специализация.",
HNC,sales@hnc.su,hnc.su,OK — данные совпадают,"Увидел, что HNC Electric работает на российском рынке с 2014 года и позиционирует себя как «бесшовную замену» западным брендам в частотных преобразователях и ЧПУ-системах — особенно актуально на фоне импортозамещения.",
Tengzhong Machinery,sales01@nttzmt.com,uncomtech.ru,ОШИБКА В ДАННЫХ — сайт не совпадает,"Заметил, что Tengzhong (Nantong Tengzhong Machinery) больше 20 лет специализируется на листогибочных прессах (press brake) под собственным брендом «Tengzhong».","Email (nttzmt.com) действительно принадлежит Nantong Tengzhong Machinery — совпадает с названием компании. А вот указанный сайт «uncomtech.ru» принадлежит совершенно другой компании — российскому поставщику кабельной продукции «Ункомтех» (похоже, перепутан со строкой «ТД Уномтех» ниже). Персонализация сделана по реальному сайту Tengzhong (en.nttzmt.com), а не по сайту из базы."
Tesid Equipment,sales@unimach.ru,unimach.ru,ОШИБКА В ДАННЫХ — email и сайт не совпадают,"Обратил внимание, что Beijing TESID с 2013 года выпускает прецизионные двусторонние шлифовальные станки серии TDG/TDL и уже поставила 300+ единиц оборудования на китайский рынок, включая аэрокосмическую отрасль.","Указанные email и сайт (unimach.ru) на самом деле принадлежат другой компании — ООО «НПК Морсвязьавтоматика» (бренд Unimach, лазерная резка и листогибы, РФ), а не Tesid Equipment. Реальный сайт Tesid — tesid.cn. Персонализация сделана по нему."
ТД Уномтех,sales@thebestcnc.com,saintymachine.com,ОШИБКА В ДАННЫХ — все поля указывают на разные компании,"Увидел, что Ункомтех — крупнейший поставщик кабельно-проводниковой продукции в России и СНГ, с заводами в Иркутске и Кирове и линейкой кабелей на напряжение до 500 кВ.","Самая запутанная строка: название «ТД Уномтех» созвучно реальной российской компании «Ункомтех» (uncomtech.ru — кабели), но указанный email принадлежит Shandong Ouka Intelligent Equipment (сварочное/плазморезное оборудование, Китай), а указанный сайт — Jiangsu Sainty Machinery (станки, Китай). Три поля — три разные реальные компании. Персонализация сделана по предположительно нужной компании (Ункомтех), но контакт стоит перепроверить у клиента."
JAT Cemented Carbide,sales@jillionsupply.com,jillionsupply.com,ОШИБКА В ДАННЫХ — email и сайт не совпадают,"Заметил, что JAT Carbide базируется в Чжучжоу — крупнейшей базе производства твёрдосплавной продукции в Китае — и использует сырьё H.C. Starck (Германия) и прессовое оборудование из Швейцарии.","Указанные email и сайт (jillionsupply.com) принадлежат другой компании — Jillion Supply (промышленная автоматизация), а не JAT Cemented Carbide. Реальный сайт JAT Carbide — jat-carbide.com. Персонализация сделана по нему."
Rogen Technologies,sales@jatcarbide.com,jat-carbide.com,ОШИБКА В ДАННЫХ — персонализация не сделана,не найдено,"Указанные email и сайт на самом деле принадлежат JAT Carbide (дубликат контактов из строки «JAT Cemented Carbide» выше), а не компании «Rogen Technologies». Реальный сайт компании с названием Rogen Technologies в этой нише найти не удалось — чтобы не выдумывать факты, персонализацию не делал. Нужно уточнить у клиента правильные контакты."
Искролайн,sales@iskroline.ru,iskroline.ru,OK — данные совпадают,"Увидел, что Искролайн работает с 2010 года и является одним из лидеров рынка эмиссионных спектрометров в России и СНГ — все приборы внесены в Государственный реестр средств измерений РФ.",
Jimmy CNC Tool,sales@jimmytool.com,jimmytool.com,OK — данные совпадают,"Заметил, что JimmyTool (Dongguan Jimmy CNC Tools, с 2008 года) предлагает отгрузку стандартных инструментов день в день и кастомные карбидные фрезы от 10 штук с изготовлением за неделю.",
Ezhong Heavy Machinery,sales@ezhonggroup.com,ezhonggroup.com,OK — данные совпадают,"Увидел, что EZHONG (Hubei Heavy Industry Equipment) называет себя №1 в Китае по вальцовочному и листоправильному оборудованию и выпускает около 100 машин в год для атомной, судостроительной и ветроэнергетической отраслей.",
Shixinghong Precision,swyct@126.com,saintymachine.com,"ОШИБКА В ДАННЫХ — сайт не совпадает, email не похож на корпоративный","Заметил, что у Shixinghong Precision больше 80 патентов и производственные площадки в Дунгуане и Чунцине, а среди клиентов — Konka и Xinyi Glass.","Указанный сайт (saintymachine.com) на самом деле принадлежит другой компании — Jiangsu Sainty Machinery (тот же неверный сайт, что и в строке «ТД Уномтех» выше — похоже, скопирован по ошибке дважды). Email — общий китайский почтовый сервис 126.com, а не корпоративный домен, что тоже нетипично для официального контакта. Персонализация сделана по реальному сайту компании (en.szshixinghong.com)."
Internor Machinery,sales@internor.com.cn,internor-mach.com,ТРЕБУЕТ ПРОВЕРКИ — не удалось однозначно подтвердить,не найдено,"Под похожими доменами (internor.cn, internor.com.cn, internor-mach.com) в открытых источниках нашлось несколько разных компаний (в т.ч. Tianjin Internor Machinery — пескоструйное/дробеструйное оборудование), и не получилось надёжно подтвердить, что именно указанные email и сайт принадлежат этой компании. Чтобы не выдумывать факты, персонализацию не делал — нужна ручная проверка контакта."
РИЦ Техносфера,sales@technosphera.ru,technosphera.ru,OK — данные совпадают,"Заметил, что РИЦ Техносфера — специализированное техническое издательство с 2001 года, выпускающее в том числе журналы «Наноиндустрия» и «Фотоника».",
Howfit Science,sales@howfit-press.com,howfit-press.com,OK — данные совпадают,"Увидел, что Howfit Science работает с 2006 года и выпускает 400–600 млн единиц продукции в год на площадках в Дунгуане и Хуэчжоу — в основном штамповочные прессы для аэрокосмической и автомобильной отраслей.",
Fengyi Yinhu,sales@fengyitool.com,fengyitool.com,OK — данные совпадают,"Заметил, что Fengyi Yinhu (Chengdu Fengyi Precision Tool) специализируется на самозажимных быстросменных свёрлах с регулируемой головкой — узкая продуктовая ниша.",
