Компания,Сайт,Имя ЛПР,Должность,Email,Ниша,Город
Агентство маркетинга «В точку»,https://t4ka.ru,Алексей Лигер,Директор,info@t4ka.ru,Маркетинговое агентство,Москва
IT Trust World,https://ittrustworld.ru,,,info@ittrustworld.ru,Веб-разработка/SEO,Санкт-Петербург
Сумма технологий,https://summatechnology.ru,,,info@summatechnology.ru,Автоматизация производства (MES/АСУТП),Санкт-Петербург
Intaro,https://intaro.ru,,,mail@intaro.ru,Digital-интегратор / e-commerce,Москва
NIMAX,https://www.nimax.ru,Маша Аксёнова,Руководитель отдела продаж,info@nimax.ru,Digital-агентство полного цикла,Санкт-Петербург
О'Смысле,https://osmisle-agency.ru,Никита Гринь,Генеральный директор,info@osmisle-agency.ru,Коммуникационное агентство,Екатеринбург
Collaba Digital,https://collaba.digital,Севастьян Мальцев,Founder/CEO,info@collaba.digital,Маркетинговое агентство,Санкт-Петербург
Ашманов и Партнеры,https://www.ashmanov.com,Игорь Ашманов,Управляющий партнёр,info@ashmanov.com,SEO-продвижение,Москва
MediaSoft.team,https://mediasoft.team,Валентин Петренко,Коммерческий директор,info@mediasoft.team,IT-аутстаффинг,Москва
Enjoy Touch,https://enjoytouch.ru,,,hello@enjoytouch.ru,Digital-студия (сайты/приложения),Владимир
WSS,https://wss.media,,,sales@wss.media,SEO/ASO маркетинг,Санкт-Петербург
MACHAON,https://machaon.ru,,,info@machaon.ru,Разработка ИТ-продуктов под ключ,Москва
PRslon,https://prslon.ru,,,hello@prslon.ru,PR-агентство,Москва
MOSKVA PRODUCTION,https://mosvideo.org,Дмитрий Мозжерин,Коммерческий продюсер,vsm@mosvideo.org,Видео-продакшн,Москва
Digital Lab,https://digital-lab.ru,,,info@digital-lab.ru,Разработка игр/видео/ПО,Москва
Текарт,https://techart.ru,,,info@techart.ru,Маркетинговая группа,Москва
Космос-Веб,https://www.cosmos-web.ru,,,nsk@cosmos-web.ru,Разработка и продвижение сайтов,Новосибирск
5+1 Media,https://5plus1.ru,Юрий Анциферов,Основатель,info@5plus1.ru,Digital-стратегии,Москва
LZ.Media,https://lz.media,Александр Любаков,CEO,la@lz.media,Интернет-маркетинг,Самара
АСТОНИА,https://astonia.ru,,,info@astonia.ru,Разработка сайтов,Москва
IT-Agency,https://www.it-agency.ru,Александр Кульгинский,Управляющий партнёр,sales@it-agency.ru,Рекламное агентство полного цикла,Москва
Wunder Digital,https://wunder-digital.ru,,,info@wunder-digital.ru,Интернет-маркетинг,Москва
SALO,https://salo.ru,,,salo@salo.ru,Брендформанс-агентство,Москва
CoffeeStudio,https://coffeestudio.ru,,,web@coffeestudio.ru,Интернет-маркетинг полного цикла,Псков
SETEVIE Agency,https://setevie.com,,,sales@setevie.com,Маркетинг в недвижимости,Санкт-Петербург
Победа Digital,https://pbd.space,,,in@pbd.space,SMM/SERM,Санкт-Петербург
Denero,https://denero.ru,,,company@denero.ru,Digital-маркетинг/аналитика,Санкт-Петербург
Tandem Group,https://tandemdigital.ru,,,info@tandemdigital.ru,Performance-маркетинг,Москва
Belberry,https://belberry.net,Максим Гундарев,Генеральный директор,hello@belberry.net,Медицинский digital-маркетинг,Москва
ONY,https://ony.ru,,,hello@ony.ru,Digital Tech агентство,Москва
MobileUp,https://mobileup.ru,,,hello@mobileup.ru,Разработка мобильных приложений,Санкт-Петербург
L-TECH,https://l-tech.ru,,,hello@l-tech.ru,IT-студия (моб./веб-разработка),Москва
Cleaning Moscow,https://cleaning-moscow.ru,Татьяна,Генеральный директор,info@cleaning-moscow.ru,Клининг для бизнеса,Москва
B2B-Транс,https://www.b2b-trans.ru,,,info@b2b-trans.ru,Грузоперевозки,Архангельск
Digital Buro,https://buro.digital,,,info@buro.digital,Digital-маркетинг,Москва
МБГ Групп,https://mbg-group.ru,,,2272726@mail.ru,Бюро переводов,Москва
ML GROUP,https://www.ml-group.ru,,,sales@ml-group.ru,Производство упаковки,Тула
КОМАНДАНТЕ,https://comandante-event.ru,Вадим Ерохин,Сооснователь,ev@comandante-event.ru,Организация корпоративных мероприятий,Москва
Fanes Production,https://fanes.pro,Павел Фрайденбергер,Сооснователь,info@fanes.pro,Видео-продакшн для бизнеса,Санкт-Петербург
Vzor-Pro,https://vzor-production.ru,,,info@vzor-production.ru,Видео-продакшн,Москва
РОССТ,https://rosst.ru,,,info@rosst.ru,Рекламное агентство полного цикла,Москва
INSPIRO,https://www.inspiro.ru,,,mail@inspiro.ru,Веб-разработка/e-commerce,Москва
Первый Бит,https://1cbit.ru,,,orderweb@1cbit.ru,Внедрение 1С,Москва
TOPAR,https://topar.ru,,,info@topar.ru,Digital-агентство,Москва
Веб-Центр,https://web-c.ru,,,mail@web-c.ru,Разработка сайтов/интернет-магазинов,Москва
MOSSEO,https://mosseo.ru,Александр Соин,Руководитель отдела продаж,info@mosseo.ru,SEO-продвижение,Москва
SEO Intellect,https://seointellect.ru,Артур Латыпов,CEO,manager@seointellect.ru,SEO-агентство,Москва
Leadconvert,https://leadconvert.ru,Владимир Сафонов,Основатель/CEO,info@leadconvert.ru,Контекстная реклама (Яндекс Директ),Москва
BrandLab,https://brandlab.ru,Александр Еременко,Founder/CEO,info@brandlab.ru,Брендинговое агентство,Москва
Zerobit,https://zerobit.ru,,,sales@zerobit.ru,ИТ-аутстаффинг,Москва
IT Волна,https://itvolna.tech,,,info@itvolna.tech,ИТ-аутстаффинг,Москва
