Компания,Сайт,Имя ЛПР,Должность,Email,Ниша,Город,Персонализация
Агентство маркетинга «В точку»,https://t4ka.ru,Алексей Лигер,Директор,info@t4ka.ru,Маркетинговое агентство,Москва,"Заметил, что агентством руководит лично Алексей Лигер, а в команде — отдельные стратеги на связи в мессенджерах: похоже, у вас персональный подход к клиентам."
IT Trust World,https://ittrustworld.ru,,,info@ittrustworld.ru,Веб-разработка/SEO,Санкт-Петербург,Увидел на сайте 36 региональных офисов по России — редкая для digital-агентства география присутствия.
Сумма технологий,https://summatechnology.ru,,,info@summatechnology.ru,Автоматизация производства (MES/АСУТП),Санкт-Петербург,"Заметил, что вы разрабатываете MES, АСУТП и цифровые двойники для производства — узкая и нечастая для digital-рынка ниша."
Intaro,https://intaro.ru,,,mail@intaro.ru,Digital-интегратор / e-commerce,Москва,"Увидел, что Intaro на рынке с 2006 года и входит в топ-5 разработчиков сложных интернет-магазинов в России."
NIMAX,https://www.nimax.ru,Маша Аксёнова,Руководитель отдела продаж,info@nimax.ru,Digital-агентство полного цикла,Санкт-Петербург,"Заметил у вас в команде отдельного руководителя отдела продаж — Марию Аксёнову, то есть направление входящих заявок уже выстроено отдельно."
О'Смысле,https://osmisle-agency.ru,Никита Гринь,Генеральный директор,info@osmisle-agency.ru,Коммуникационное агентство,Екатеринбург,"Увидел, что ваш директор Никита Гринь ещё преподаёт курс «Бизнес в рекламе и PR» в УрФУ — интересное сочетание практики и преподавания."
Collaba Digital,https://collaba.digital,Севастьян Мальцев,Founder/CEO,info@collaba.digital,Маркетинговое агентство,Санкт-Петербург,"Заметил, что до Collaba вы, Севастьян, 12+ лет проработали в Isobar — солидный бэкграунд на стороне крупных клиентов."
Ашманов и Партнеры,https://www.ashmanov.com,Игорь Ашманов,Управляющий партнёр,info@ashmanov.com,SEO-продвижение,Москва,"Игорь, увидел, что вас называют одним из самых известных менеджеров Рунета — агентство одно из старейших на рынке SEO в России."
MediaSoft.team,https://mediasoft.team,Валентин Петренко,Коммерческий директор,info@mediasoft.team,IT-аутстаффинг,Москва,"Заметил, что заявками у вас занимается лично коммерческий директор Валентин Петренко — быстрая обратная связь для клиентов."
Enjoy Touch,https://enjoytouch.ru,,,hello@enjoytouch.ru,Digital-студия (сайты/приложения),Владимир,"Увидел, что Enjoy Touch входит в топ-100 digital-студий России, при этом штаб-квартира — во Владимире, а не в Москве."
WSS,https://wss.media,,,sales@wss.media,SEO/ASO маркетинг,Санкт-Петербург,"Заметил, что вы ведёте органический маркетинг сразу в 56 странах — большой международный охват для российского агентства."
MACHAON,https://machaon.ru,,,info@machaon.ru,Разработка ИТ-продуктов под ключ,Москва,"Увидел, что за 15 лет у вас 420+ реализованных проектов, включая заказы для государственных структур."
PRslon,https://prslon.ru,,,hello@prslon.ru,PR-агентство,Москва,"Заметил, что в 2025 году PRslon возглавил рейтинг PR-агентств России — сильная позиция на конкурентном рынке."
MOSKVA PRODUCTION,https://mosvideo.org,Дмитрий Мозжерин,Коммерческий продюсер,vsm@mosvideo.org,Видео-продакшн,Москва,"Дмитрий, увидел, что у вас в штате отдельный коммерческий продюсер — значит, видеопроекты ведёте полным циклом, а не на аутсорсе."
Digital Lab,https://digital-lab.ru,,,info@digital-lab.ru,Разработка игр/видео/ПО,Москва,"Заметил, что вы совмещаете три направления — разработку игр, видеопродакшн и ПО — необычная для агентства диверсификация."
